track,anchor_place,start_sec,end_sec,combo_type,stem_A,cat_A,file_A,stem_B,cat_B,file_B,key,timing,tempo,mode,polyrhythm
Track00001,20,119.985,125.984,mel_mel,S02,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S02_place020.wav,S09,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00001/pos_slices/Track00001_S09_place020.wav,1,1,1,1,1
Track00002,19,76.0,80.0,drum_bass,S09,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S09_place019.wav,S01,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S01_place019.wav,1,1,1,1,1
Track00002,19,76.0,80.0,bass_main,S01,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S01_place019.wav,S05,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S05_place019.wav,1,1,1,1,1
Track00002,19,76.0,80.0,drum_main,S09,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S09_place019.wav,S05,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S05_place019.wav,1,1,1,1,1
Track00002,19,76.0,80.0,mel_mel,S03,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S03_place019.wav,S08,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S08_place019.wav,1,1,1,1,1
Track00002,19,76.0,80.0,mel_mel,S00,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S00_place019.wav,S03,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S03_place019.wav,1,1,1,1,1
Track00002,19,76.0,80.0,mel_mel,S03,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S03_place019.wav,S06,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S06_place019.wav,1,1,1,1,1
Track00002,19,76.0,80.0,mel_mel,S06,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S06_place019.wav,S08,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S08_place019.wav,1,1,1,1,1
Track00002,41,164.0,168.0,drum_bass,S09,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S09_place041.wav,S01,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S01_place041.wav,1,1,1,1,1
Track00002,41,164.0,168.0,bass_main,S01,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S01_place041.wav,S04,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S04_place041.wav,1,1,1,1,1
Track00002,41,164.0,168.0,drum_main,S09,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S09_place041.wav,S04,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S04_place041.wav,1,1,1,1,1
Track00002,41,164.0,168.0,mel_mel,S07,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S07_place041.wav,S08,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S08_place041.wav,1,1,1,1,1
Track00002,41,164.0,168.0,mel_mel,S03,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S03_place041.wav,S08,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S08_place041.wav,1,1,1,1,1
Track00002,41,164.0,168.0,mel_mel,S02,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S02_place041.wav,S04,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S04_place041.wav,1,1,1,1,1
Track00002,41,164.0,168.0,mel_mel,S04,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S04_place041.wav,S06,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00002/pos_slices/Track00002_S06_place041.wav,1,1,1,1,1
Track00003,10,32.0,35.2,drum_bass,S06,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S06_place010.wav,S01,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S01_place010.wav,1,1,1,1,1
Track00003,10,32.0,35.2,bass_main,S01,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S01_place010.wav,S07,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S07_place010.wav,1,1,1,1,1
Track00003,10,32.0,35.2,drum_main,S06,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S06_place010.wav,S07,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S07_place010.wav,1,1,1,1,1
Track00003,10,32.0,35.2,mel_mel,S02,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S02_place010.wav,S07,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S07_place010.wav,1,1,1,1,1
Track00003,10,32.0,35.2,mel_mel,S00,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S00_place010.wav,S02,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S02_place010.wav,1,1,1,1,1
Track00003,10,32.0,35.2,mel_mel,S03,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S03_place010.wav,S07,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S07_place010.wav,1,1,1,1,1
Track00003,10,32.0,35.2,mel_mel,S03,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S03_place010.wav,S04,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S04_place010.wav,1,1,1,1,1
Track00003,55,176.0,179.2,drum_bass,S06,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S06_place055.wav,S01,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S01_place055.wav,1,1,1,1,1
Track00003,55,176.0,179.2,bass_main,S01,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S01_place055.wav,S07,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S07_place055.wav,1,1,1,1,1
Track00003,55,176.0,179.2,drum_main,S06,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S06_place055.wav,S07,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S07_place055.wav,1,1,1,1,1
Track00003,55,176.0,179.2,mel_mel,S00,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S00_place055.wav,S07,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S07_place055.wav,1,1,1,1,1
Track00003,55,176.0,179.2,mel_mel,S04,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S04_place055.wav,S07,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S07_place055.wav,1,1,1,1,1
Track00003,55,176.0,179.2,mel_mel,S00,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S00_place055.wav,S02,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S02_place055.wav,1,1,1,1,1
Track00003,55,176.0,179.2,mel_mel,S02,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S02_place055.wav,S03,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00003/pos_slices/Track00003_S03_place055.wav,1,1,1,1,1
Track00004,17,70.957,75.131,drum_bass,S08,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S08_place017.wav,S01,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S01_place017.wav,1,1,1,1,1
Track00004,17,70.957,75.131,bass_main,S01,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S01_place017.wav,S06,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S06_place017.wav,1,1,1,1,1
Track00004,17,70.957,75.131,drum_main,S08,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S08_place017.wav,S06,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S06_place017.wav,1,1,1,1,1
Track00004,17,70.957,75.131,mel_mel,S00,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S00_place017.wav,S05,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S05_place017.wav,1,1,1,1,1
Track00004,17,70.957,75.131,mel_mel,S03,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S03_place017.wav,S06,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S06_place017.wav,1,1,1,1,1
Track00004,17,70.957,75.131,mel_mel,S03,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S03_place017.wav,S05,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S05_place017.wav,1,1,1,1,1
Track00004,17,70.957,75.131,mel_mel,S04,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S04_place017.wav,S06,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S06_place017.wav,1,1,1,1,1
Track00004,32,133.566,137.74,drum_bass,S08,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S08_place032.wav,S01,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S01_place032.wav,1,1,1,1,1
Track00004,32,133.566,137.74,bass_main,S01,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S01_place032.wav,S06,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S06_place032.wav,1,1,1,1,1
Track00004,32,133.566,137.74,drum_main,S08,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S08_place032.wav,S06,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S06_place032.wav,1,1,1,1,1
Track00004,32,133.566,137.74,mel_mel,S02,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S02_place032.wav,S06,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S06_place032.wav,1,1,1,1,1
Track00004,32,133.566,137.74,mel_mel,S02,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S02_place032.wav,S04,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S04_place032.wav,1,1,1,1,1
Track00004,32,133.566,137.74,mel_mel,S00,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S00_place032.wav,S05,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S05_place032.wav,1,1,1,1,1
Track00004,32,133.566,137.74,mel_mel,S02,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S02_place032.wav,S05,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00004/pos_slices/Track00004_S05_place032.wav,1,1,1,1,1
Track00005,20,90.566,95.095,drum_bass,S00,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S00_place020.wav,S04,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S04_place020.wav,1,1,1,1,1
Track00005,20,90.566,95.095,bass_main,S04,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S04_place020.wav,S05,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S05_place020.wav,1,1,1,1,1
Track00005,20,90.566,95.095,drum_main,S00,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S00_place020.wav,S05,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S05_place020.wav,1,1,1,1,1
Track00005,20,90.566,95.095,mel_mel,S06,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S06_place020.wav,S07,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S07_place020.wav,1,1,1,1,1
Track00005,20,90.566,95.095,mel_mel,S02,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S02_place020.wav,S06,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S06_place020.wav,1,1,1,1,1
Track00005,20,90.566,95.095,mel_mel,S08,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S08_place020.wav,S11,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S11_place020.wav,1,1,1,1,1
Track00005,20,90.566,95.095,mel_mel,S11,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S11_place020.wav,S13,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S13_place020.wav,1,1,1,1,1
Track00005,32,144.906,149.434,drum_bass,S00,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S00_place032.wav,S04,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S04_place032.wav,1,1,1,1,1
Track00005,32,144.906,149.434,bass_main,S04,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S04_place032.wav,S11,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S11_place032.wav,1,1,1,1,1
Track00005,32,144.906,149.434,drum_main,S00,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S00_place032.wav,S11,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S11_place032.wav,1,1,1,1,1
Track00005,32,144.906,149.434,mel_mel,S01,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S01_place032.wav,S02,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S02_place032.wav,1,1,1,1,1
Track00005,32,144.906,149.434,mel_mel,S01,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S01_place032.wav,S12,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S12_place032.wav,1,1,1,1,1
Track00005,32,144.906,149.434,mel_mel,S07,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S07_place032.wav,S11,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S11_place032.wav,1,1,1,1,1
Track00005,32,144.906,149.434,mel_mel,S02,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S02_place032.wav,S12,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00005/pos_slices/Track00005_S12_place032.wav,1,1,1,1,1
Track00006,10,77.419,85.161,drum_bass,S00,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S00_place010.wav,S03,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S03_place010.wav,1,1,1,1,1
Track00006,10,77.419,85.161,bass_main,S03,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S03_place010.wav,S11,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S11_place010.wav,1,1,1,1,1
Track00006,10,77.419,85.161,drum_main,S00,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S00_place010.wav,S11,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S11_place010.wav,1,1,1,1,1
Track00006,10,77.419,85.161,mel_mel,S04,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S04_place010.wav,S05,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S05_place010.wav,1,1,1,1,1
Track00006,10,77.419,85.161,mel_mel,S02,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S02_place010.wav,S04,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S04_place010.wav,1,1,1,1,1
Track00006,10,77.419,85.161,mel_mel,S02,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S02_place010.wav,S08,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S08_place010.wav,1,1,1,1,1
Track00006,10,77.419,85.161,mel_mel,S04,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S04_place010.wav,S10,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S10_place010.wav,1,1,1,1,1
Track00006,24,185.806,193.548,drum_bass,S00,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S00_place024.wav,S03,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S03_place024.wav,1,1,1,1,1
Track00006,24,185.806,193.548,bass_main,S03,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S03_place024.wav,S11,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S11_place024.wav,1,1,1,1,1
Track00006,24,185.806,193.548,drum_main,S00,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S00_place024.wav,S11,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S11_place024.wav,1,1,1,1,1
Track00006,24,185.806,193.548,mel_mel,S01,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S01_place024.wav,S09,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S09_place024.wav,1,1,1,1,1
Track00006,24,185.806,193.548,mel_mel,S01,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S01_place024.wav,S08,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S08_place024.wav,1,1,1,1,1
Track00006,24,185.806,193.548,mel_mel,S05,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S05_place024.wav,S06,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S06_place024.wav,1,1,1,1,1
Track00006,24,185.806,193.548,mel_mel,S04,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S04_place024.wav,S10,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00006/pos_slices/Track00006_S10_place024.wav,1,1,1,1,1
Track00007,20,96.97,101.819,drum_bass,S00,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00007/pos_slices/Track00007_S00_place020.wav,S02,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00007/pos_slices/Track00007_S02_place020.wav,1,1,1,1,1
Track00007,20,96.97,101.819,bass_main,S02,Bass,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00007/pos_slices/Track00007_S02_place020.wav,S05,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00007/pos_slices/Track00007_S05_place020.wav,1,1,1,1,1
Track00007,20,96.97,101.819,drum_main,S00,Drums,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00007/pos_slices/Track00007_S00_place020.wav,S05,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00007/pos_slices/Track00007_S05_place020.wav,1,1,1,1,1
Track00007,20,96.97,101.819,mel_mel,S06,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00007/pos_slices/Track00007_S06_place020.wav,S08,Melody,/Users/hugoposthuma/Downloads/Thesis/babyslakh_16k/Track00007/pos_slices/Track00007_S08_place020.wav,1,1,1,1,1
