file_A,file_B,key,vertical,tempo,timing,type,track,anchor,combo
features/Track00003_S01_p3_clean.pt,features/Track00003_S03_p3_tempo7.pt,1,1,0,1,tempo,Track00003,3,bass_main
features/Track00003_S03_p3_clean.pt,features/Track00003_S01_p3_timing8.pt,1,1,1,0,timing,Track00003,3,bass_main
features/Track00003_S03_p3_clean.pt,features/Track00003_S01_p3_timing9.pt,1,1,1,0,timing,Track00003,3,bass_main
features/Track00003_S01_p13_clean.pt,features/Track00003_S04_p13_clean.pt,1,1,1,1,positive,Track00003,13,bass_main
features/Track00003_S01_p13_aug10.pt,features/Track00003_S04_p13_aug10.pt,1,1,1,1,augmented,Track00003,13,bass_main
features/Track00003_S01_p13_aug11.pt,features/Track00003_S04_p13_aug11.pt,1,1,1,1,augmented,Track00003,13,bass_main
features/Track00003_S01_p13_clean.pt,features/Track00003_S04_p13_key12.pt,0,1,1,1,key,Track00003,13,bass_main
features/Track00003_S04_p13_clean.pt,features/Track00003_S01_p13_key13.pt,0,1,1,1,key,Track00003,13,bass_main
features/Track00003_S01_p13_clean.pt,features/Track00003_p13_vertical14.pt,1,0,1,1,vertical,Track00003,13,bass_main
features/Track00003_S01_p13_clean.pt,features/Track00003_p13_vertical15.pt,1,0,1,1,vertical,Track00003,13,bass_main
features/Track00003_S04_p13_clean.pt,features/Track00003_S01_p13_tempo16.pt,1,1,0,1,tempo,Track00003,13,bass_main
features/Track00003_S01_p13_clean.pt,features/Track00003_S04_p13_tempo17.pt,1,1,0,1,tempo,Track00003,13,bass_main
features/Track00003_S01_p13_clean.pt,features/Track00003_S04_p13_timing18.pt,1,1,1,0,timing,Track00003,13,bass_main
features/Track00003_S01_p13_clean.pt,features/Track00003_S04_p13_timing19.pt,1,1,1,0,timing,Track00003,13,bass_main
features/Track00007_S02_p20_clean.pt,features/Track00007_S05_p20_clean.pt,1,1,1,1,positive,Track00007,20,bass_main
features/Track00007_S02_p20_aug0.pt,features/Track00007_S05_p20_aug0.pt,1,1,1,1,augmented,Track00007,20,bass_main
features/Track00007_S02_p20_aug1.pt,features/Track00007_S05_p20_aug1.pt,1,1,1,1,augmented,Track00007,20,bass_main
features/Track00007_S05_p20_clean.pt,features/Track00007_S02_p20_key2.pt,0,1,1,1,key,Track00007,20,bass_main
features/Track00007_S05_p20_clean.pt,features/Track00007_S02_p20_key3.pt,0,1,1,1,key,Track00007,20,bass_main
features/Track00007_S02_p20_clean.pt,features/Track00007_p20_vertical4.pt,1,0,1,1,vertical,Track00007,20,bass_main
features/Track00007_S02_p20_clean.pt,features/Track00007_p20_vertical5.pt,1,0,1,1,vertical,Track00007,20,bass_main
features/Track00007_S02_p20_clean.pt,features/Track00007_S05_p20_tempo6.pt,1,1,0,1,tempo,Track00007,20,bass_main
features/Track00007_S02_p20_clean.pt,features/Track00007_S05_p20_tempo7.pt,1,1,0,1,tempo,Track00007,20,bass_main
features/Track00007_S05_p20_clean.pt,features/Track00007_S02_p20_timing8.pt,1,1,1,0,timing,Track00007,20,bass_main
features/Track00007_S02_p20_clean.pt,features/Track00007_S05_p20_timing9.pt,1,1,1,0,timing,Track00007,20,bass_main
features/Track00007_S02_p22_clean.pt,features/Track00007_S07_p22_clean.pt,1,1,1,1,positive,Track00007,22,bass_main
features/Track00007_S02_p22_aug10.pt,features/Track00007_S07_p22_aug10.pt,1,1,1,1,augmented,Track00007,22,bass_main
features/Track00007_S02_p22_aug11.pt,features/Track00007_S07_p22_aug11.pt,1,1,1,1,augmented,Track00007,22,bass_main
features/Track00007_S02_p22_clean.pt,features/Track00007_S07_p22_key12.pt,0,1,1,1,key,Track00007,22,bass_main
features/Track00007_S07_p22_clean.pt,features/Track00007_S02_p22_key13.pt,0,1,1,1,key,Track00007,22,bass_main
features/Track00007_S02_p22_clean.pt,features/Track00007_p22_vertical14.pt,1,0,1,1,vertical,Track00007,22,bass_main
features/Track00007_S02_p22_clean.pt,features/Track00007_p22_vertical15.pt,1,0,1,1,vertical,Track00007,22,bass_main
features/Track00007_S07_p22_clean.pt,features/Track00007_S02_p22_tempo16.pt,1,1,0,1,tempo,Track00007,22,bass_main
features/Track00007_S02_p22_clean.pt,features/Track00007_S07_p22_tempo17.pt,1,1,0,1,tempo,Track00007,22,bass_main
features/Track00007_S02_p22_clean.pt,features/Track00007_S07_p22_timing18.pt,1,1,1,0,timing,Track00007,22,bass_main
features/Track00007_S02_p22_clean.pt,features/Track00007_S07_p22_timing19.pt,1,1,1,0,timing,Track00007,22,bass_main
features/Track00007_S07_p22_clean.pt,features/Track00007_S08_p22_clean.pt,1,1,1,1,positive,Track00007,22,mel_mel
features/Track00007_S07_p22_aug20.pt,features/Track00007_S08_p22_aug20.pt,1,1,1,1,augmented,Track00007,22,mel_mel
features/Track00007_S07_p22_aug21.pt,features/Track00007_S08_p22_aug21.pt,1,1,1,1,augmented,Track00007,22,mel_mel
features/Track00007_S08_p22_clean.pt,features/Track00007_S07_p22_key22.pt,0,1,1,1,key,Track00007,22,mel_mel
features/Track00007_S07_p22_clean.pt,features/Track00007_S08_p22_key23.pt,0,1,1,1,key,Track00007,22,mel_mel
features/Track00007_S07_p22_clean.pt,features/Track00007_p22_vertical24.pt,1,0,1,1,vertical,Track00007,22,mel_mel
features/Track00007_S07_p22_clean.pt,features/Track00007_p22_vertical25.pt,1,0,1,1,vertical,Track00007,22,mel_mel
features/Track00007_S07_p22_clean.pt,features/Track00007_S08_p22_tempo26.pt,1,1,0,1,tempo,Track00007,22,mel_mel
features/Track00007_S07_p22_clean.pt,features/Track00007_S08_p22_tempo27.pt,1,1,0,1,tempo,Track00007,22,mel_mel
features/Track00007_S07_p22_clean.pt,features/Track00007_S08_p22_timing28.pt,1,1,1,0,timing,Track00007,22,mel_mel
features/Track00007_S08_p22_clean.pt,features/Track00007_S07_p22_timing29.pt,1,1,1,0,timing,Track00007,22,mel_mel
features/Track00007_S02_p42_clean.pt,features/Track00007_S05_p42_clean.pt,1,1,1,1,positive,Track00007,42,bass_main
features/Track00007_S02_p42_aug30.pt,features/Track00007_S05_p42_aug30.pt,1,1,1,1,augmented,Track00007,42,bass_main
features/Track00007_S02_p42_aug31.pt,features/Track00007_S05_p42_aug31.pt,1,1,1,1,augmented,Track00007,42,bass_main
features/Track00007_S02_p42_clean.pt,features/Track00007_S05_p42_key32.pt,0,1,1,1,key,Track00007,42,bass_main
features/Track00007_S05_p42_clean.pt,features/Track00007_S02_p42_key33.pt,0,1,1,1,key,Track00007,42,bass_main
features/Track00007_S02_p42_clean.pt,features/Track00007_p42_vertical34.pt,1,0,1,1,vertical,Track00007,42,bass_main
features/Track00007_S02_p42_clean.pt,features/Track00007_p42_vertical35.pt,1,0,1,1,vertical,Track00007,42,bass_main
features/Track00007_S05_p42_clean.pt,features/Track00007_S02_p42_tempo36.pt,1,1,0,1,tempo,Track00007,42,bass_main
features/Track00007_S02_p42_clean.pt,features/Track00007_S05_p42_tempo37.pt,1,1,0,1,tempo,Track00007,42,bass_main
features/Track00007_S02_p42_clean.pt,features/Track00007_S05_p42_timing38.pt,1,1,1,0,timing,Track00007,42,bass_main
features/Track00007_S05_p42_clean.pt,features/Track00007_S02_p42_timing39.pt,1,1,1,0,timing,Track00007,42,bass_main
features/Track00011_S01_p18_clean.pt,features/Track00011_S00_p18_clean.pt,1,1,1,1,positive,Track00011,18,bass_main
features/Track00011_S01_p18_aug0.pt,features/Track00011_S00_p18_aug0.pt,1,1,1,1,augmented,Track00011,18,bass_main
features/Track00011_S01_p18_aug1.pt,features/Track00011_S00_p18_aug1.pt,1,1,1,1,augmented,Track00011,18,bass_main
features/Track00011_S00_p18_clean.pt,features/Track00011_S01_p18_key2.pt,0,1,1,1,key,Track00011,18,bass_main
features/Track00011_S00_p18_clean.pt,features/Track00011_S01_p18_key3.pt,0,1,1,1,key,Track00011,18,bass_main
features/Track00011_S01_p18_clean.pt,features/Track00011_p18_vertical4.pt,1,0,1,1,vertical,Track00011,18,bass_main
features/Track00011_S01_p18_clean.pt,features/Track00011_p18_vertical5.pt,1,0,1,1,vertical,Track00011,18,bass_main
features/Track00011_S01_p18_clean.pt,features/Track00011_S00_p18_tempo6.pt,1,1,0,1,tempo,Track00011,18,bass_main
features/Track00011_S01_p18_clean.pt,features/Track00011_S00_p18_tempo7.pt,1,1,0,1,tempo,Track00011,18,bass_main
features/Track00011_S00_p18_clean.pt,features/Track00011_S01_p18_timing8.pt,1,1,1,0,timing,Track00011,18,bass_main
features/Track00011_S00_p18_clean.pt,features/Track00011_S01_p18_timing9.pt,1,1,1,0,timing,Track00011,18,bass_main
features/Track00011_S01_p38_clean.pt,features/Track00011_S00_p38_clean.pt,1,1,1,1,positive,Track00011,38,bass_main
features/Track00011_S01_p38_aug10.pt,features/Track00011_S00_p38_aug10.pt,1,1,1,1,augmented,Track00011,38,bass_main
features/Track00011_S01_p38_aug11.pt,features/Track00011_S00_p38_aug11.pt,1,1,1,1,augmented,Track00011,38,bass_main
features/Track00011_S01_p38_clean.pt,features/Track00011_S00_p38_key12.pt,0,1,1,1,key,Track00011,38,bass_main
features/Track00011_S00_p38_clean.pt,features/Track00011_S01_p38_key13.pt,0,1,1,1,key,Track00011,38,bass_main
features/Track00011_S01_p38_clean.pt,features/Track00011_p38_vertical14.pt,1,0,1,1,vertical,Track00011,38,bass_main
features/Track00011_S01_p38_clean.pt,features/Track00011_p38_vertical15.pt,1,0,1,1,vertical,Track00011,38,bass_main
features/Track00011_S01_p38_clean.pt,features/Track00011_S00_p38_tempo16.pt,1,1,0,1,tempo,Track00011,38,bass_main
features/Track00011_S01_p38_clean.pt,features/Track00011_S00_p38_tempo17.pt,1,1,0,1,tempo,Track00011,38,bass_main
features/Track00011_S01_p38_clean.pt,features/Track00011_S00_p38_timing18.pt,1,1,1,0,timing,Track00011,38,bass_main
features/Track00011_S01_p38_clean.pt,features/Track00011_S00_p38_timing19.pt,1,1,1,0,timing,Track00011,38,bass_main
features/Track00009_S00_p1_clean.pt,features/Track00009_S04_p1_clean.pt,1,1,1,1,positive,Track00009,1,mel_mel
features/Track00009_S00_p1_aug0.pt,features/Track00009_S04_p1_aug0.pt,1,1,1,1,augmented,Track00009,1,mel_mel
features/Track00009_S00_p1_aug1.pt,features/Track00009_S04_p1_aug1.pt,1,1,1,1,augmented,Track00009,1,mel_mel
features/Track00009_S04_p1_clean.pt,features/Track00009_S00_p1_key2.pt,0,1,1,1,key,Track00009,1,mel_mel
features/Track00009_S04_p1_clean.pt,features/Track00009_S00_p1_key3.pt,0,1,1,1,key,Track00009,1,mel_mel
features/Track00009_S04_p1_clean.pt,features/Track00009_p1_vertical4.pt,1,0,1,1,vertical,Track00009,1,mel_mel
features/Track00009_S04_p1_clean.pt,features/Track00009_p1_vertical5.pt,1,0,1,1,vertical,Track00009,1,mel_mel
features/Track00009_S00_p1_clean.pt,features/Track00009_S04_p1_tempo6.pt,1,1,0,1,tempo,Track00009,1,mel_mel
features/Track00009_S00_p1_clean.pt,features/Track00009_S04_p1_tempo7.pt,1,1,0,1,tempo,Track00009,1,mel_mel
features/Track00009_S04_p1_clean.pt,features/Track00009_S00_p1_timing8.pt,1,1,1,0,timing,Track00009,1,mel_mel
features/Track00009_S00_p1_clean.pt,features/Track00009_S04_p1_timing9.pt,1,1,1,0,timing,Track00009,1,mel_mel
features/Track00009_S00_p3_clean.pt,features/Track00009_S04_p3_clean.pt,1,1,1,1,positive,Track00009,3,mel_mel
features/Track00009_S00_p3_aug10.pt,features/Track00009_S04_p3_aug10.pt,1,1,1,1,augmented,Track00009,3,mel_mel
features/Track00009_S00_p3_aug11.pt,features/Track00009_S04_p3_aug11.pt,1,1,1,1,augmented,Track00009,3,mel_mel
features/Track00009_S00_p3_clean.pt,features/Track00009_S04_p3_key12.pt,0,1,1,1,key,Track00009,3,mel_mel
features/Track00009_S04_p3_clean.pt,features/Track00009_S00_p3_key13.pt,0,1,1,1,key,Track00009,3,mel_mel
features/Track00009_S04_p3_clean.pt,features/Track00009_p3_vertical14.pt,1,0,1,1,vertical,Track00009,3,mel_mel
features/Track00009_S04_p3_clean.pt,features/Track00009_p3_vertical15.pt,1,0,1,1,vertical,Track00009,3,mel_mel
features/Track00009_S04_p3_clean.pt,features/Track00009_S00_p3_tempo16.pt,1,1,0,1,tempo,Track00009,3,mel_mel
features/Track00009_S00_p3_clean.pt,features/Track00009_S04_p3_tempo17.pt,1,1,0,1,tempo,Track00009,3,mel_mel
features/Track00009_S00_p3_clean.pt,features/Track00009_S04_p3_timing18.pt,1,1,1,0,timing,Track00009,3,mel_mel
features/Track00009_S04_p3_clean.pt,features/Track00009_S00_p3_timing19.pt,1,1,1,0,timing,Track00009,3,mel_mel
features/Track00001_S03_p4_clean.pt,features/Track00001_S09_p4_clean.pt,1,1,1,1,positive,Track00001,4,bass_main
features/Track00001_S03_p4_aug0.pt,features/Track00001_S09_p4_aug0.pt,1,1,1,1,augmented,Track00001,4,bass_main
features/Track00001_S03_p4_aug1.pt,features/Track00001_S09_p4_aug1.pt,1,1,1,1,augmented,Track00001,4,bass_main
features/Track00001_S09_p4_clean.pt,features/Track00001_S03_p4_key2.pt,0,1,1,1,key,Track00001,4,bass_main
features/Track00001_S09_p4_clean.pt,features/Track00001_S03_p4_key3.pt,0,1,1,1,key,Track00001,4,bass_main
features/Track00001_S03_p4_clean.pt,features/Track00001_p4_vertical4.pt,1,0,1,1,vertical,Track00001,4,bass_main
features/Track00001_S03_p4_clean.pt,features/Track00001_p4_vertical5.pt,1,0,1,1,vertical,Track00001,4,bass_main
features/Track00001_S03_p4_clean.pt,features/Track00001_S09_p4_tempo6.pt,1,1,0,1,tempo,Track00001,4,bass_main
features/Track00001_S03_p4_clean.pt,features/Track00001_S09_p4_tempo7.pt,1,1,0,1,tempo,Track00001,4,bass_main
features/Track00001_S09_p4_clean.pt,features/Track00001_S03_p4_timing8.pt,1,1,1,0,timing,Track00001,4,bass_main
features/Track00001_S09_p4_clean.pt,features/Track00001_S03_p4_timing9.pt,1,1,1,0,timing,Track00001,4,bass_main
features/Track00001_S03_p18_clean.pt,features/Track00001_S09_p18_clean.pt,1,1,1,1,positive,Track00001,18,bass_main
features/Track00001_S03_p18_aug10.pt,features/Track00001_S09_p18_aug10.pt,1,1,1,1,augmented,Track00001,18,bass_main
features/Track00001_S03_p18_aug11.pt,features/Track00001_S09_p18_aug11.pt,1,1,1,1,augmented,Track00001,18,bass_main
features/Track00001_S03_p18_clean.pt,features/Track00001_S09_p18_key12.pt,0,1,1,1,key,Track00001,18,bass_main
features/Track00001_S09_p18_clean.pt,features/Track00001_S03_p18_key13.pt,0,1,1,1,key,Track00001,18,bass_main
features/Track00001_S03_p18_clean.pt,features/Track00001_p18_vertical14.pt,1,0,1,1,vertical,Track00001,18,bass_main
features/Track00001_S03_p18_clean.pt,features/Track00001_p18_vertical15.pt,1,0,1,1,vertical,Track00001,18,bass_main
features/Track00001_S03_p18_clean.pt,features/Track00001_S09_p18_tempo16.pt,1,1,0,1,tempo,Track00001,18,bass_main
features/Track00001_S03_p18_clean.pt,features/Track00001_S09_p18_tempo17.pt,1,1,0,1,tempo,Track00001,18,bass_main
features/Track00001_S03_p18_clean.pt,features/Track00001_S09_p18_timing18.pt,1,1,1,0,timing,Track00001,18,bass_main
features/Track00001_S09_p18_clean.pt,features/Track00001_S03_p18_timing19.pt,1,1,1,0,timing,Track00001,18,bass_main
features/Track00001_S09_p18_clean.pt,features/Track00001_S10_p18_clean.pt,1,1,1,1,positive,Track00001,18,mel_mel
features/Track00001_S09_p18_aug20.pt,features/Track00001_S10_p18_aug20.pt,1,1,1,1,augmented,Track00001,18,mel_mel
features/Track00001_S09_p18_aug21.pt,features/Track00001_S10_p18_aug21.pt,1,1,1,1,augmented,Track00001,18,mel_mel
features/Track00001_S10_p18_clean.pt,features/Track00001_S09_p18_key22.pt,0,1,1,1,key,Track00001,18,mel_mel
features/Track00001_S09_p18_clean.pt,features/Track00001_S10_p18_key23.pt,0,1,1,1,key,Track00001,18,mel_mel
features/Track00001_S10_p18_clean.pt,features/Track00001_p18_vertical24.pt,1,0,1,1,vertical,Track00001,18,mel_mel
features/Track00001_S10_p18_clean.pt,features/Track00001_p18_vertical25.pt,1,0,1,1,vertical,Track00001,18,mel_mel
features/Track00001_S09_p18_clean.pt,features/Track00001_S10_p18_tempo26.pt,1,1,0,1,tempo,Track00001,18,mel_mel
features/Track00001_S09_p18_clean.pt,features/Track00001_S10_p18_tempo27.pt,1,1,0,1,tempo,Track00001,18,mel_mel
features/Track00001_S09_p18_clean.pt,features/Track00001_S10_p18_timing28.pt,1,1,1,0,timing,Track00001,18,mel_mel
features/Track00001_S10_p18_clean.pt,features/Track00001_S09_p18_timing29.pt,1,1,1,0,timing,Track00001,18,mel_mel
features/Track00001_S03_p29_clean.pt,features/Track00001_S09_p29_clean.pt,1,1,1,1,positive,Track00001,29,bass_main
features/Track00001_S03_p29_aug30.pt,features/Track00001_S09_p29_aug30.pt,1,1,1,1,augmented,Track00001,29,bass_main
features/Track00001_S03_p29_aug31.pt,features/Track00001_S09_p29_aug31.pt,1,1,1,1,augmented,Track00001,29,bass_main
features/Track00001_S03_p29_clean.pt,features/Track00001_S09_p29_key32.pt,0,1,1,1,key,Track00001,29,bass_main
features/Track00001_S03_p29_clean.pt,features/Track00001_S09_p29_key33.pt,0,1,1,1,key,Track00001,29,bass_main
features/Track00001_S03_p29_clean.pt,features/Track00001_p29_vertical34.pt,1,0,1,1,vertical,Track00001,29,bass_main
features/Track00001_S03_p29_clean.pt,features/Track00001_p29_vertical35.pt,1,0,1,1,vertical,Track00001,29,bass_main
features/Track00001_S03_p29_clean.pt,features/Track00001_S09_p29_tempo36.pt,1,1,0,1,tempo,Track00001,29,bass_main
features/Track00001_S09_p29_clean.pt,features/Track00001_S03_p29_tempo37.pt,1,1,0,1,tempo,Track00001,29,bass_main
features/Track00001_S03_p29_clean.pt,features/Track00001_S09_p29_timing38.pt,1,1,1,0,timing,Track00001,29,bass_main
features/Track00001_S09_p29_clean.pt,features/Track00001_S03_p29_timing39.pt,1,1,1,0,timing,Track00001,29,bass_main
features/Track00001_S09_p29_clean.pt,features/Track00001_S10_p29_clean.pt,1,1,1,1,positive,Track00001,29,mel_mel
features/Track00001_S09_p29_aug40.pt,features/Track00001_S10_p29_aug40.pt,1,1,1,1,augmented,Track00001,29,mel_mel
features/Track00001_S09_p29_aug41.pt,features/Track00001_S10_p29_aug41.pt,1,1,1,1,augmented,Track00001,29,mel_mel
features/Track00001_S10_p29_clean.pt,features/Track00001_S09_p29_key42.pt,0,1,1,1,key,Track00001,29,mel_mel
features/Track00001_S10_p29_clean.pt,features/Track00001_S09_p29_key43.pt,0,1,1,1,key,Track00001,29,mel_mel
features/Track00001_S10_p29_clean.pt,features/Track00001_p29_vertical44.pt,1,0,1,1,vertical,Track00001,29,mel_mel
features/Track00001_S10_p29_clean.pt,features/Track00001_p29_vertical45.pt,1,0,1,1,vertical,Track00001,29,mel_mel
features/Track00001_S10_p29_clean.pt,features/Track00001_S09_p29_tempo46.pt,1,1,0,1,tempo,Track00001,29,mel_mel
features/Track00001_S10_p29_clean.pt,features/Track00001_S09_p29_tempo47.pt,1,1,0,1,tempo,Track00001,29,mel_mel
features/Track00001_S10_p29_clean.pt,features/Track00001_S09_p29_timing48.pt,1,1,1,0,timing,Track00001,29,mel_mel
features/Track00001_S10_p29_clean.pt,features/Track00001_S09_p29_timing49.pt,1,1,1,0,timing,Track00001,29,mel_mel
features/Track00001_S03_p31_clean.pt,features/Track00001_S09_p31_clean.pt,1,1,1,1,positive,Track00001,31,bass_main
features/Track00001_S03_p31_aug50.pt,features/Track00001_S09_p31_aug50.pt,1,1,1,1,augmented,Track00001,31,bass_main
features/Track00001_S03_p31_aug51.pt,features/Track00001_S09_p31_aug51.pt,1,1,1,1,augmented,Track00001,31,bass_main
features/Track00001_S09_p31_clean.pt,features/Track00001_S03_p31_key52.pt,0,1,1,1,key,Track00001,31,bass_main
features/Track00001_S09_p31_clean.pt,features/Track00001_S03_p31_key53.pt,0,1,1,1,key,Track00001,31,bass_main
features/Track00001_S03_p31_clean.pt,features/Track00001_p31_vertical54.pt,1,0,1,1,vertical,Track00001,31,bass_main
features/Track00001_S03_p31_clean.pt,features/Track00001_p31_vertical55.pt,1,0,1,1,vertical,Track00001,31,bass_main
features/Track00001_S09_p31_clean.pt,features/Track00001_S03_p31_tempo56.pt,1,1,0,1,tempo,Track00001,31,bass_main
features/Track00001_S03_p31_clean.pt,features/Track00001_S09_p31_tempo57.pt,1,1,0,1,tempo,Track00001,31,bass_main
features/Track00001_S09_p31_clean.pt,features/Track00001_S03_p31_timing58.pt,1,1,1,0,timing,Track00001,31,bass_main
features/Track00001_S09_p31_clean.pt,features/Track00001_S03_p31_timing59.pt,1,1,1,0,timing,Track00001,31,bass_main
features/Track00001_S09_p31_clean.pt,features/Track00001_S10_p31_clean.pt,1,1,1,1,positive,Track00001,31,mel_mel
features/Track00001_S09_p31_aug60.pt,features/Track00001_S10_p31_aug60.pt,1,1,1,1,augmented,Track00001,31,mel_mel
features/Track00001_S09_p31_aug61.pt,features/Track00001_S10_p31_aug61.pt,1,1,1,1,augmented,Track00001,31,mel_mel
features/Track00001_S10_p31_clean.pt,features/Track00001_S09_p31_key62.pt,0,1,1,1,key,Track00001,31,mel_mel
features/Track00001_S09_p31_clean.pt,features/Track00001_S10_p31_key63.pt,0,1,1,1,key,Track00001,31,mel_mel
features/Track00001_S10_p31_clean.pt,features/Track00001_p31_vertical64.pt,1,0,1,1,vertical,Track00001,31,mel_mel
features/Track00001_S10_p31_clean.pt,features/Track00001_p31_vertical65.pt,1,0,1,1,vertical,Track00001,31,mel_mel
features/Track00001_S09_p31_clean.pt,features/Track00001_S10_p31_tempo66.pt,1,1,0,1,tempo,Track00001,31,mel_mel
features/Track00001_S09_p31_clean.pt,features/Track00001_S10_p31_tempo67.pt,1,1,0,1,tempo,Track00001,31,mel_mel
features/Track00001_S10_p31_clean.pt,features/Track00001_S09_p31_timing68.pt,1,1,1,0,timing,Track00001,31,mel_mel
features/Track00001_S09_p31_clean.pt,features/Track00001_S10_p31_timing69.pt,1,1,1,0,timing,Track00001,31,mel_mel
features/Track00006_S03_p2_clean.pt,features/Track00006_S02_p2_clean.pt,1,1,1,1,positive,Track00006,2,bass_main
features/Track00006_S03_p2_aug0.pt,features/Track00006_S02_p2_aug0.pt,1,1,1,1,augmented,Track00006,2,bass_main
features/Track00006_S03_p2_aug1.pt,features/Track00006_S02_p2_aug1.pt,1,1,1,1,augmented,Track00006,2,bass_main
features/Track00006_S02_p2_clean.pt,features/Track00006_S03_p2_key2.pt,0,1,1,1,key,Track00006,2,bass_main
features/Track00006_S02_p2_clean.pt,features/Track00006_S03_p2_key3.pt,0,1,1,1,key,Track00006,2,bass_main
features/Track00006_S03_p2_clean.pt,features/Track00006_p2_vertical4.pt,1,0,1,1,vertical,Track00006,2,bass_main
features/Track00006_S03_p2_clean.pt,features/Track00006_p2_vertical5.pt,1,0,1,1,vertical,Track00006,2,bass_main
features/Track00006_S03_p2_clean.pt,features/Track00006_S02_p2_tempo6.pt,1,1,0,1,tempo,Track00006,2,bass_main
features/Track00006_S03_p2_clean.pt,features/Track00006_S02_p2_tempo7.pt,1,1,0,1,tempo,Track00006,2,bass_main
features/Track00006_S02_p2_clean.pt,features/Track00006_S03_p2_timing8.pt,1,1,1,0,timing,Track00006,2,bass_main
features/Track00006_S02_p2_clean.pt,features/Track00006_S03_p2_timing9.pt,1,1,1,0,timing,Track00006,2,bass_main
features/Track00006_S03_p4_clean.pt,features/Track00006_S02_p4_clean.pt,1,1,1,1,positive,Track00006,4,bass_main
features/Track00006_S03_p4_aug10.pt,features/Track00006_S02_p4_aug10.pt,1,1,1,1,augmented,Track00006,4,bass_main
features/Track00006_S03_p4_aug11.pt,features/Track00006_S02_p4_aug11.pt,1,1,1,1,augmented,Track00006,4,bass_main
